-10	-36
-10	-39
-10	-41
-10	-56
-10	-57
-10	-62
-10	-64
-10	-68
-10	-75
-10	-76
-10	-77
-10	-78
-10	-79
-10	146
-10	147
-10	22
-11	-46
-11	-54
-11	-63
-11	-70
-11	-74
-11	-75
-11	-76
-11	-77
-11	-78
-11	-79
-11	142
-12	-38
-12	-69
-12	-70
-12	-71
-12	-72
-12	-73
-12	-74
-12	-75
-12	-76
-12	-77
-12	-78
-12	27
-123	39
-13	-39
-13	-40
-13	-41
-13	-42
-13	-57
-13	-66
-13	-69
-13	-70
-13	-71
-13	-72
-13	-74
-13	-75
-13	-76
-13	-77
-13	-78
-13	130
-13	131
-13	132
-13	143
-13	27
-13	28
-13	31
-13	32
-14	-40
-14	-62
-14	-64
-14	-65
-14	-66
-14	-67
-14	-69
-14	-70
-14	-71
-14	-72
-14	-73
-14	-74
-14	-75
-14	-76
-14	-77
-14	131
-14	132
-14	29
-14	31
-14	34
-15	-172
-15	-40
-15	-41
-15	-61
-15	-62
-15	-65
-15	-68
-15	-69
-15	-72
-15	-76
-15	125
-15	132
-15	133
-15	143
-15	26
-15	28
-15	30
-15	33
-15	34
-15	35
-16	-45
-16	-48
-16	-56
-16	-57
-16	-58
-16	-62
-16	-63
-16	-65
-16	-69
-16	-70
-16	-71
-16	-72
-16	127
-16	128
-16	129
-16	130
-16	133
-16	135
-16	136
-16	144
-16	145
-16	25
-16	26
-16	27
-16	28
-16	46
-17	-180
-17	-54
-17	-56
-17	-57
-17	-60
-17	-61
-17	-62
-17	-65
-17	-66
-17	-68
-17	-69
-17	-70
-17	-71
-17	-72
-17	-73
-17	-74
-17	128
-17	130
-17	133
-17	135
-17	136
-17	144
-17	145
-17	179
-17	27
-17	28
-17	46
-17	47
-18	-45
-18	-57
-18	-59
-18	-61
-18	-63
-18	-64
-18	-65
-18	-66
-18	-67
-18	-68
-18	-70
-18	-71
-18	-72
-18	122
-18	123
-18	124
-18	125
-18	138
-18	144
-18	145
-18	146
-18	177
-18	178
-18	19
-18	23
-18	24
-18	25
-18	30
-18	31
-19	-44
-19	-53
-19	-58
-19	-60
-19	-61
-19	-63
-19	-64
-19	-65
-19	-68
-19	-70
-19	-71
-19	125
-19	126
-19	128
-19	135
-19	138
-19	139
-19	142
-19	143
-19	144
-19	146
-19	16
-19	178
-19	21
-19	22
-19	23
-19	24
-19	25
-19	26
-19	32
-19	47
-19	48
-2	-49
-2	-62
-2	-78
-2	-79
-2	-80
-2	-81
-2	-82
-2	-90
-2	-91
-2	101
-2	113
-2	133
-2	136
-2	14
-2	28
-2	29
-2	34
-2	35
-2	36
-2	37
-20	-41
-20	-42
-20	-44
-20	-49
-20	-57
-20	-58
-20	-61
-20	-64
-20	-65
-20	-66
-20	-69
-20	-70
-20	-71
-20	134
-20	139
-20	146
-20	147
-20	15
-20	16
-20	18
-20	22
-20	23
-20	26
-20	27
-20	32
-20	47
-20	48
-21	-42
-21	-44
-21	-45
-21	-47
-21	-55
-21	-56
-21	-57
-21	-59
-21	-63
-21	-64
-21	-67
-21	-69
-21	-70
-21	-71
-21	117
-21	118
-21	139
-21	148
-21	164
-21	17
-21	23
-21	24
-21	26
-21	27
-21	28
-21	31
-21	47
-22	-43
-22	-44
-22	-55
-22	-57
-22	-63
-22	-64
-22	-65
-22	-66
-22	-71
-22	148
-22	149
-22	15
-22	16
-22	165
-22	27
-22	29
-22	47
-23	-42
-23	-43
-23	-44
-23	-45
-23	-46
-23	-47
-23	-48
-23	-49
-23	-61
-23	-66
-23	-67
-23	-69
-23	-70
-23	-71
-23	114
-23	117
-23	118
-23	119
-23	133
-23	14
-23	149
-23	150
-23	16
-23	166
-23	17
-23	26
-23	31
-23	44
-23	47
-24	-45
-24	-46
-24	-47
-24	-48
-24	-62
-24	-65
-24	-66
-24	-68
-24	-69
-24	-71
-24	118
-24	119
-24	132
-24	133
-24	14
-24	144
-24	150
-24	151
-24	16
-24	29
-24	30
-24	31
-24	43
-24	47
-25	-47
-25	-48
-25	-49
-25	-51
-25	-58
-25	-59
-25	-64
-25	-65
-25	-66
-25	131
-25	133
-25	134
-25	139
-25	148
-25	151
-25	25
-25	28
-25	30
-25	31
-26	-48
-26	-49
-26	-50
-26	-51
-26	-55
-26	-56
-26	-58
-26	-62
-26	-65
-26	-66
-26	113
-26	130
-26	131
-26	132
-26	138
-26	139
-26	142
-26	144
-26	148
-26	152
-26	153
-26	20
-26	27
-26	28
-26	29
-26	30
-26	31
-26	46
-27	-49
-27	-54
-27	-55
-27	-57
-27	-58
-27	-59
-27	-66
-27	-70
-27	114
-27	115
-27	117
-27	138
-27	139
-27	146
-27	150
-27	151
-27	152
-27	153
-27	20
-27	27
-27	28
-27	30
-27	31
-27	32
-28	-49
-28	-54
-28	-55
-28	-56
-28	-57
-28	-58
-28	-59
-28	-66
-28	-70
-28	-71
-28	114
-28	116
-28	117
-28	140
-28	145
-28	151
-28	152
-28	153
-28	25
-28	29
-28	30
-28	31
-28	32
-29	-51
-29	-57
-29	-58
-29	-66
-29	-69
-29	-72
-29	114
-29	115
-29	138
-29	145
-29	151
-29	152
-29	153
-29	16
-29	19
-29	20
-29	24
-29	27
-29	28
-29	29
-29	31
-29	32
-3	-55
-3	-57
-3	-61
-3	-62
-3	-71
-3	-72
-3	-73
-3	-74
-3	-77
-3	-78
-3	-79
